Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,75.964,80.029,77.386,81.721,69.247,81.323,13,69.605
2,76.384,65.126,20.676,96.754,64.339,85.985,38,70.601
3,74.495,65.35,94.451,41.574,57.503,87.911,17,67.975
4,76.385,71.519,64.192,80.288,63.855,86.1,34,71.229
5,74.974,85.62,74.874,94.853,66.093,81.969,8,69.344
6,75.77,84.503,96.047,74.155,64.517,84.613,26,70.557
7,76.271,62.392,16.236,99.526,64.316,85.707,27,70.901
8,75.625,84.998,80.439,88.248,64.855,84.175,21,70.695
9,76.255,72.262,40.49,99.383,63.611,86.195,44,70.97
10,75.748,76.427,43.564,98.77,62.566,86.231,36,71.064
11,78.297,67.569,99.879,47.702,69.524,85.361,33,71.93
12,76.29,85.404,86.806,83.857,68.228,82.573,34,70.459
13,75.467,86.723,78.226,93.36,62.888,85.382,34,70.698
14,76.535,57.792,6.836,99.97,67.149,83.938,16,70.853
15,75.82,66.088,30.35,96.134,64.22,85.001,40,70.347
16,75.718,79.182,71.929,85.064,64.582,84.504,17,70.389
17,76.043,78.574,85.263,73.0,62.897,86.403,31,71.313
18,75.543,81.312,72.411,87.01,65.918,83.222,13,69.666
19,76.745,65.835,24.239,95.428,69.526,82.499,15,73.923
20,77.199,58.758,98.599,26.207,71.846,81.426,12,73.4
21,76.027,56.795,8.361,99.57,64.248,85.294,25,73.863
22,77.445,57.423,3.798,98.774,70.002,83.344,41,74.522
23,76.469,89.276,90.603,88.371,70.307,81.362,22,69.657
,,,,,,,,
Elapsed time: 5:15:42,,,,,,,,
