Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,85.75,86.987,91.17,84.311,88.743,83.362,96,78.885
2,85.219,61.14,7.219,99.506,84.318,85.938,97,73.14
3,85.82,57.427,98.302,24.032,89.224,83.133,98,73.35
4,84.67,84.516,92.461,75.007,81.099,87.438,59,76.379
5,85.977,74.423,47.064,97.932,88.781,83.768,99,78.917
6,85.793,84.722,91.78,78.396,88.823,83.413,87,78.357
7,86.039,88.622,91.746,86.109,88.354,84.211,96,79.198
8,86.033,77.353,97.677,62.861,89.034,83.65,83,78.586
9,85.459,89.231,90.178,88.423,90.044,81.855,83,78.549
10,85.099,90.092,93.533,87.753,86.95,83.626,60,77.052
11,86.526,72.947,99.145,56.839,84.351,88.277,85,78.68
12,85.803,87.682,92.005,82.909,85.873,85.749,73,77.891
13,85.9,74.551,96.115,57.705,90.427,82.332,97,79.025
14,86.279,65.783,24.519,99.939,89.403,83.816,100,78.664
15,86.091,79.692,58.63,97.4,85.776,86.34,93,78.165
16,85.975,83.468,97.082,72.427,87.434,84.823,84,78.493
17,85.512,87.936,81.739,93.101,83.999,86.705,75,77.754
18,86.153,87.358,85.511,88.54,85.974,86.295,100,78.344
19,85.336,75.19,46.742,95.428,83.495,86.803,63,79.396
20,84.441,78.68,94.637,65.643,83.894,84.873,44,77.839
21,86.687,59.898,15.512,99.098,84.879,88.11,94,82.002
22,85.911,68.211,80.827,58.483,88.124,84.157,75,81.134
23,85.644,83.579,99.836,72.489,90.481,81.803,97,79.005
,,,,,,,,
Elapsed time: 11:58:36,,,,,,,,
