Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,93.964,92.883,96.329,90.675,92.172,95.391,57,94.18
2,94.001,92.175,90.69,93.234,91.881,95.686,45,94.107
3,93.44,92.929,92.248,93.485,90.788,95.528,37,93.573
4,93.882,88.723,79.673,99.545,91.447,95.768,41,94.232
5,94.207,91.783,83.747,98.702,93.245,94.963,83,94.737
6,94.317,92.969,90.209,95.431,93.442,95.003,69,94.572
7,93.171,95.056,94.776,95.281,90.332,95.406,23,94.018
8,93.566,89.849,91.292,88.814,91.358,95.315,36,94.423
9,93.798,92.964,86.859,98.179,91.447,95.643,41,94.412
10,93.796,92.518,96.969,89.49,91.83,95.355,64,94.113
11,93.944,90.617,96.36,87.062,92.12,95.409,37,94.312
12,94.157,92.59,86.255,99.608,92.536,95.416,62,94.504
13,93.87,85.647,72.654,95.808,91.157,96.006,43,94.309
14,93.363,94.146,91.386,96.429,90.829,95.356,26,94.106
15,94.067,92.812,87.803,97.036,92.104,95.614,51,94.465
16,93.792,95.926,94.334,97.222,92.158,95.079,41,94.366
17,93.96,95.012,94.442,95.487,92.381,95.202,63,94.519
18,93.792,94.158,95.572,93.253,91.327,95.755,45,94.451
19,94.035,93.676,91.889,94.95,91.292,96.215,54,94.476
20,93.379,96.117,95.837,96.345,90.574,95.588,34,93.824
21,94.123,90.293,84.263,95.615,92.392,95.483,32,94.392
22,93.913,93.204,91.586,94.456,91.399,95.899,55,94.523
23,93.65,94.266,96.368,92.83,91.437,95.403,36,94.059
,,,,,,,,
Elapsed time: 7:54:36,,,,,,,,
