Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,94.918,95.433,98.357,93.56,93.785,95.819,60,95.775
2,94.596,91.833,90.373,92.874,92.532,96.236,41,94.674
3,94.435,93.133,94.455,92.054,93.657,95.048,30,94.363
4,94.824,89.987,82.306,99.172,93.941,95.508,56,95.938
5,94.987,93.061,86.671,98.563,94.484,95.382,48,95.763
6,94.856,92.539,88.649,96.01,93.356,96.033,61,96.237
7,95.014,95.273,97.472,93.505,93.856,95.926,65,96.137
8,94.73,90.272,92.515,88.665,93.158,95.976,28,95.511
9,94.802,93.513,88.846,97.5,94.26,95.228,45,95.722
10,94.589,93.013,96.619,90.559,93.796,95.219,24,94.973
11,94.958,91.479,94.693,89.49,93.164,96.399,37,95.687
12,94.788,92.611,86.522,99.356,93.838,95.527,33,95.533
13,94.804,87.554,78.212,94.86,93.419,95.895,36,95.732
14,94.998,94.463,90.825,97.472,93.519,96.161,74,96.385
15,94.836,93.317,89.005,96.951,94.108,95.41,37,95.69
16,94.702,95.756,95.845,95.683,93.869,95.359,53,95.948
17,94.712,94.486,92.777,95.909,93.474,95.685,41,95.686
18,94.83,96.092,93.875,97.512,93.374,95.988,96,96.303
19,94.83,96.022,95.514,96.384,92.781,96.46,35,95.631
20,94.844,97.271,96.263,98.093,93.075,96.237,79,96.168
21,95.265,90.573,86.747,93.95,94.177,96.12,29,95.885
22,95.006,94.347,92.905,95.464,93.788,95.969,66,96.449
23,94.808,96.344,96.622,96.154,93.138,96.131,49,95.955
,,,,,,,,
Elapsed time: 11:31:56,,,,,,,,
