Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,89.585,76.838,98.975,62.667,90.446,88.897,46,87.045
2,79.912,72.535,55.478,84.673,79.276,80.42,11,76.636
3,89.843,89.657,82.594,95.428,88.424,90.964,68,89.043
4,87.081,90.372,97.969,81.28,91.275,83.83,30,84.819
5,90.046,92.866,98.86,87.715,90.624,89.59,68,89.343
6,89.646,94.874,91.99,97.46,89.133,90.05,58,88.849
7,89.376,92.586,98.933,87.479,93.27,86.302,55,88.124
8,89.571,90.882,92.982,89.385,89.152,89.903,53,88.373
9,89.757,93.417,95.13,91.955,92.499,87.602,62,88.714
10,89.549,89.943,97.193,85.012,91.792,87.765,54,88.276
11,89.573,82.573,99.803,71.978,91.843,87.745,44,87.357
12,89.857,93.01,91.257,94.946,92.362,87.905,56,88.791
13,88.991,86.22,80.701,90.532,90.118,88.103,43,87.142
14,90.138,93.783,92.042,95.225,90.366,89.958,79,89.631
15,84.317,89.104,82.021,95.06,80.368,87.443,22,82.282
16,87.56,92.539,88.553,95.772,88.752,86.62,32,85.88
17,81.431,91.768,89.113,93.975,81.109,81.684,13,79.323
18,90.074,76.904,99.082,62.708,92.551,88.097,50,89.654
19,89.656,86.601,76.954,93.466,88.311,90.729,62,88.386
20,88.342,85.572,72.286,96.429,83.735,91.979,54,87.051
21,87.078,86.549,88.826,84.539,95.685,80.307,31,82.517
22,86.587,80.514,97.206,67.639,87.684,85.717,28,83.204
23,86.691,87.699,94.512,83.05,84.534,88.402,33,83.133
,,,,,,,,
Elapsed time: 7:18:51,,,,,,,,
