Fold,Acc_L,Acc_U,R_0_U,R_1_U,R_0_L,R_1_L,Stop_epoch,Accuracy_dev
1,90.483,85.487,97.609,77.728,90.645,90.353,61,89.258
2,86.836,78.005,66.019,86.536,87.09,86.634,24,83.988
3,89.25,86.624,88.968,84.708,88.924,89.507,43,86.347
4,89.531,84.818,76.828,94.382,85.785,92.434,53,87.39
5,86.073,83.321,87.322,79.883,80.82,90.21,11,82.971
6,84.118,87.343,93.363,81.946,78.438,88.581,9,80.819
7,86.788,91.338,90.979,91.628,86.463,87.045,16,84.199
8,89.224,88.131,92.523,84.998,89.7,88.846,49,87.536
9,85.598,83.842,89.13,79.329,84.237,86.667,12,82.544
10,86.538,87.421,92.896,83.698,80.005,91.734,26,84.481
11,89.901,90.466,92.593,89.159,86.31,92.793,50,88.388
12,84.692,90.728,93.171,88.031,88.084,82.048,15,82.496
13,86.909,85.273,94.694,77.911,91.023,83.665,27,83.876
14,85.231,87.421,77.293,95.804,79.896,89.438,13,82.081
15,87.089,92.65,93.104,92.268,90.558,84.344,24,83.554
16,89.068,89.493,90.449,88.718,90.26,88.126,48,87.338
17,87.005,91.435,83.326,98.178,79.453,92.956,33,85.513
18,82.906,76.783,96.029,64.464,80.482,84.84,12,82.687
19,86.772,82.017,72.977,88.449,84.458,88.617,17,85.009
20,88.422,87.596,80.692,93.237,83.749,92.112,37,86.99
21,88.37,89.379,81.455,96.378,80.916,94.234,47,86.148
22,89.564,86.327,92.238,81.768,89.013,90.001,49,88.351
23,89.379,86.866,99.146,78.487,92.469,86.927,49,87.732
,,,,,,,,
Elapsed time: 8:54:55,,,,,,,,
